age,gender,height,weight,bmi,goal,activity_level,experience_level,workout_type,diet_type
44,male,1.71,80,27.36,muscle_gain,low,intermediate,strength_training,balanced
35,male,1.76,72,23.24,muscle_gain,low,intermediate,strength_training,balanced
38,female,1.81,57,17.4,maintenance,high,advanced,yoga,balanced
49,male,1.64,66,24.54,maintenance,low,intermediate,yoga,balanced
35,male,1.69,58,20.31,fat_loss,medium,advanced,hiit,low_carb
43,female,1.59,78,30.85,maintenance,high,beginner,yoga,balanced
38,male,1.73,95,31.74,maintenance,low,advanced,yoga,balanced
45,female,1.51,77,33.77,maintenance,high,intermediate,yoga,balanced
29,female,1.85,89,26.0,fat_loss,high,advanced,cardio,calorie_deficit
25,male,1.83,84,25.08,muscle_gain,low,advanced,strength_training,balanced
37,female,1.89,89,24.92,maintenance,high,advanced,yoga,balanced
18,male,1.61,95,36.65,muscle_gain,high,beginner,strength_training,balanced
45,male,1.82,65,19.62,fat_loss,high,intermediate,hiit,low_carb
47,male,1.62,70,26.67,maintenance,medium,intermediate,yoga,balanced
25,female,1.74,96,31.71,muscle_gain,medium,beginner,strength_training,balanced
44,female,1.59,100,39.56,maintenance,high,intermediate,yoga,balanced
49,female,1.61,75,28.93,fat_loss,high,advanced,cardio,calorie_deficit
33,female,1.88,94,26.6,maintenance,low,advanced,yoga,balanced
38,male,1.59,51,20.17,maintenance,high,beginner,yoga,balanced
22,female,1.51,92,40.35,maintenance,high,intermediate,yoga,balanced
18,female,1.65,81,29.75,fat_loss,high,beginner,cardio,calorie_deficit
30,male,1.61,97,37.42,muscle_gain,medium,beginner,strength_training,balanced
42,male,1.82,82,24.76,maintenance,high,advanced,yoga,balanced
25,female,1.73,82,27.4,muscle_gain,low,beginner,strength_training,balanced
29,female,1.61,56,21.6,maintenance,high,intermediate,yoga,balanced
42,female,1.8,98,30.25,fat_loss,low,intermediate,cardio,calorie_deficit
20,male,1.57,62,25.15,fat_loss,medium,beginner,cardio,calorie_deficit
44,male,1.74,56,18.5,muscle_gain,medium,advanced,weight_training,high_protein
38,male,1.67,60,21.51,maintenance,medium,beginner,yoga,balanced
43,female,1.64,72,26.77,fat_loss,low,intermediate,cardio,calorie_deficit
23,female,1.71,71,24.28,fat_loss,high,beginner,hiit,low_carb
47,female,1.55,73,30.39,maintenance,high,beginner,yoga,balanced
25,male,1.72,84,28.39,muscle_gain,low,beginner,strength_training,balanced
47,female,1.57,90,36.51,maintenance,medium,beginner,yoga,balanced
50,male,1.88,67,18.96,muscle_gain,high,intermediate,weight_training,high_protein
39,male,1.85,87,25.42,fat_loss,high,intermediate,cardio,calorie_deficit
19,male,1.64,60,22.31,fat_loss,low,beginner,hiit,low_carb
23,female,1.54,82,34.58,muscle_gain,low,beginner,strength_training,balanced
23,female,1.82,87,26.26,muscle_gain,high,advanced,strength_training,balanced
27,male,1.57,57,23.12,maintenance,high,intermediate,yoga,balanced
21,female,1.76,62,20.02,fat_loss,medium,advanced,hiit,low_carb
39,female,1.83,83,24.78,maintenance,high,beginner,yoga,balanced
36,female,1.72,87,29.41,maintenance,high,advanced,yoga,balanced
36,female,1.66,58,21.05,fat_loss,low,beginner,hiit,low_carb
43,male,1.88,87,24.62,fat_loss,low,advanced,hiit,low_carb
38,female,1.89,81,22.68,fat_loss,low,advanced,hiit,low_carb
18,female,1.65,62,22.77,maintenance,medium,advanced,yoga,balanced
23,male,1.59,78,30.85,muscle_gain,low,beginner,strength_training,balanced
36,female,1.66,72,26.13,muscle_gain,high,advanced,strength_training,balanced
48,male,1.83,55,16.42,muscle_gain,medium,advanced,weight_training,high_protein
43,female,1.64,79,29.37,fat_loss,low,advanced,cardio,calorie_deficit
46,male,1.6,95,37.11,muscle_gain,low,beginner,strength_training,balanced
38,male,1.53,72,30.76,muscle_gain,medium,intermediate,strength_training,balanced
27,male,1.51,73,32.02,fat_loss,medium,intermediate,cardio,calorie_deficit
27,male,1.54,58,24.46,muscle_gain,low,beginner,strength_training,balanced
21,female,1.63,82,30.86,maintenance,high,intermediate,yoga,balanced
20,female,1.6,59,23.05,maintenance,low,beginner,yoga,balanced
25,male,1.51,80,35.09,fat_loss,low,beginner,cardio,calorie_deficit
50,female,1.77,69,22.02,maintenance,high,beginner,yoga,balanced
44,female,1.81,94,28.69,muscle_gain,low,advanced,strength_training,balanced
34,female,1.81,76,23.2,maintenance,medium,intermediate,yoga,balanced
43,male,1.77,82,26.17,maintenance,high,intermediate,yoga,balanced
41,male,1.67,96,34.42,fat_loss,low,beginner,cardio,calorie_deficit
22,male,1.55,62,25.81,maintenance,high,intermediate,yoga,balanced
27,male,1.6,96,37.5,muscle_gain,high,intermediate,strength_training,balanced
38,female,1.51,54,23.68,muscle_gain,high,beginner,strength_training,balanced
24,male,1.71,66,22.57,maintenance,high,advanced,yoga,balanced
48,male,1.69,65,22.76,maintenance,medium,beginner,yoga,balanced
42,female,1.73,77,25.73,maintenance,low,intermediate,yoga,balanced
50,female,1.64,83,30.86,fat_loss,medium,beginner,cardio,calorie_deficit
30,female,1.62,55,20.96,maintenance,low,advanced,yoga,balanced
38,male,1.88,53,15.0,maintenance,low,beginner,yoga,balanced
20,male,1.8,54,16.67,muscle_gain,high,beginner,weight_training,high_protein
29,male,1.79,100,31.21,fat_loss,high,intermediate,cardio,calorie_deficit
19,male,1.8,54,16.67,muscle_gain,medium,beginner,weight_training,high_protein
21,female,1.78,65,20.52,maintenance,low,beginner,yoga,balanced
32,female,1.68,58,20.55,fat_loss,low,advanced,hiit,low_carb
47,male,1.59,62,24.52,muscle_gain,low,beginner,strength_training,balanced
45,male,1.54,97,40.9,fat_loss,low,advanced,cardio,calorie_deficit
50,female,1.87,66,18.87,maintenance,high,beginner,yoga,balanced
24,male,1.67,55,19.72,fat_loss,medium,beginner,hiit,low_carb
49,male,1.84,63,18.61,maintenance,low,intermediate,yoga,balanced
46,female,1.84,51,15.06,muscle_gain,high,intermediate,weight_training,high_protein
33,female,1.61,77,29.71,fat_loss,low,intermediate,cardio,calorie_deficit
25,female,1.87,51,14.58,maintenance,low,advanced,yoga,balanced
41,female,1.78,86,27.14,fat_loss,medium,intermediate,cardio,calorie_deficit
48,female,1.89,72,20.16,maintenance,medium,beginner,yoga,balanced
30,male,1.67,65,23.31,maintenance,low,intermediate,yoga,balanced
45,male,1.83,56,16.72,maintenance,medium,beginner,yoga,balanced
22,male,1.73,72,24.06,muscle_gain,medium,beginner,strength_training,balanced
18,female,1.55,92,38.29,muscle_gain,high,advanced,strength_training,balanced
35,male,1.83,100,29.86,muscle_gain,low,intermediate,strength_training,balanced
25,female,1.58,72,28.84,fat_loss,medium,advanced,cardio,calorie_deficit
35,male,1.62,53,20.2,fat_loss,medium,beginner,hiit,low_carb
23,male,1.8,84,25.93,muscle_gain,medium,intermediate,strength_training,balanced
20,male,1.88,53,15.0,fat_loss,low,beginner,hiit,low_carb
44,female,1.56,88,36.16,fat_loss,medium,intermediate,cardio,calorie_deficit
43,female,1.73,61,20.38,fat_loss,low,beginner,hiit,low_carb
30,male,1.58,93,37.25,fat_loss,low,advanced,cardio,calorie_deficit
41,male,1.87,72,20.59,muscle_gain,high,intermediate,weight_training,high_protein
31,female,1.78,70,22.09,maintenance,low,intermediate,yoga,balanced
22,male,1.5,56,24.89,fat_loss,low,intermediate,hiit,low_carb
47,female,1.76,98,31.64,maintenance,medium,advanced,yoga,balanced
